id,collection_date,transductor_id,generated_energy_peak_time,generated_energy_off_peak_time,consumption_peak_time,consumption_off_peak_time,inductive_power_peak_time,inductive_power_off_peak_time,capacitive_power_peak_time,capacitive_power_off_peak_time,tax_id
26523,2020-11-03 05:45:00,1,0.0,1741.97839355469,0.0,4736.21923828125,0.0,2905.66088867188,0.0,2597.50927734375,
26524,2020-11-03 06:00:00,1,0.0,1767.47143554688,0.0,4784.6552734375,0.0,2957.603515625,0.0,2630.39331054688,
26525,2020-11-03 06:15:00,1,0.0,1694.68908691406,0.0,4604.111328125,0.0,2808.98193359375,0.0,2562.63671875,
26526,2020-11-03 06:30:00,1,0.0,1696.24047851562,0.0,4519.1552734375,0.0,2781.50415039062,0.0,2545.65625,
26527,2020-11-03 07:00:00,1,0.0,2068.93872070312,0.0,4932.06396484375,0.0,3404.98486328125,0.0,2793.04248046875,
26528,2020-11-03 07:15:00,1,0.0,1766.30310058594,0.0,4563.28369140625,0.0,2812.37719726562,0.0,2581.70678710938,
26529,2020-11-03 07:30:00,1,0.0,1841.84521484375,0.0,4669.5390625,0.0,2935.095703125,0.0,2671.28393554688,
26822,2020-11-03 08:15:00,1,0.0,1765.77661132812,0.0,4606.8779296875,0.0,2844.04833984375,0.0,2605.68139648438,
26823,2020-11-03 08:45:00,1,0.0,1743.06213378906,0.0,4562.30859375,0.0,2814.35864257812,0.0,2606.39306640625,
26824,2020-11-03 09:00:00,1,0.0,1807.38549804688,0.0,4666.86767578125,0.0,2931.86328125,0.0,2651.68920898438,
26825,2020-11-03 09:30:00,1,0.0,1796.31579589844,0.0,4654.34130859375,0.0,2890.75122070312,0.0,2643.48803710938,
26826,2020-11-03 09:45:00,1,0.0,1810.25451660156,0.0,4670.4248046875,0.0,2899.41381835938,0.0,2641.89868164062,
26827,2020-11-03 10:00:00,1,0.0,1844.76184082031,0.0,4708.51171875,0.0,3002.43432617188,0.0,2676.70239257812,
26828,2020-11-03 10:15:00,1,0.0,1777.77624511719,0.0,4635.28076171875,0.0,2870.86572265625,0.0,2655.099609375,
26829,2020-11-03 10:30:00,1,0.0,1755.73132324219,0.0,4600.4140625,0.0,2812.34106445312,0.0,2603.78466796875,
26830,2020-11-03 10:45:00,1,0.0,1832.9111328125,0.0,4702.29931640625,0.0,2968.28125,0.0,2681.99829101562,
26831,2020-11-03 11:00:00,1,0.0,1807.23767089844,0.0,4665.57373046875,0.0,2896.55493164062,0.0,2655.12841796875,
26832,2020-11-03 11:15:00,1,0.0,1813.869140625,0.0,4705.8974609375,0.0,2925.07446289062,0.0,2685.62670898438,
26833,2020-11-03 11:30:00,1,0.0,1838.22302246094,0.0,4700.58984375,0.0,2958.29028320312,0.0,2721.83959960938,
26834,2020-11-03 12:00:00,1,0.0,1846.64221191406,0.0,4721.28564453125,0.0,2910.81982421875,0.0,2751.87158203125,
26835,2020-11-03 12:15:00,1,0.0,1838.24670410156,0.0,4683.24609375,0.0,2924.14501953125,0.0,2728.39233398438,
26836,2020-11-03 12:30:00,1,0.0,1858.37268066406,0.0,4689.2783203125,0.0,2971.70727539062,0.0,2769.92822265625,
26837,2020-11-03 12:45:00,1,0.0,1903.46948242188,0.0,4727.0751953125,0.0,3019.27563476562,0.0,2755.54296875,
26838,2020-11-03 13:00:00,1,0.0,1863.35021972656,0.0,4736.5341796875,0.0,2979.392578125,0.0,2741.56420898438,
26839,2020-11-03 13:15:00,1,0.0,1849.38525390625,0.0,4718.0517578125,0.0,2990.53271484375,0.0,2726.58764648438,
26840,2020-11-03 13:30:00,1,0.0,1850.28015136719,0.0,4686.03271484375,0.0,2967.26831054688,0.0,2731.3046875,
26841,2020-11-03 13:45:00,1,0.0,1805.05810546875,0.0,4602.404296875,0.0,2828.54248046875,0.0,2672.03393554688,
26842,2020-11-03 14:00:00,1,0.0,1776.02294921875,0.0,4538.28857421875,0.0,2797.73779296875,0.0,2630.212890625,
26843,2020-11-03 14:15:00,1,0.0,1844.77709960938,0.0,4706.13427734375,0.0,2945.11547851562,0.0,2705.38793945312,
26844,2020-11-03 14:30:00,1,0.0,1814.61242675781,0.0,4659.986328125,0.0,2897.73583984375,0.0,2689.57446289062,
26845,2020-11-03 14:45:00,1,0.0,1792.04455566406,0.0,4582.91845703125,0.0,2836.58984375,0.0,2672.33544921875,
26995,2020-11-03 15:00:00,1,0.0,1848.07775878906,0.0,4692.6669921875,0.0,2946.10327148438,0.0,2703.72607421875,
26996,2020-11-03 15:15:00,1,0.0,1792.16259765625,0.0,4619.7646484375,0.0,2884.68408203125,0.0,2679.16381835938,
26997,2020-11-03 15:30:00,1,0.0,1750.91076660156,0.0,4545.19091796875,0.0,2814.35766601562,0.0,2645.99975585938,
26998,2020-11-03 15:45:00,1,0.0,1771.17565917969,0.0,4527.2978515625,0.0,2857.64819335938,0.0,2667.591796875,
26999,2020-11-03 16:00:00,1,0.0,1823.06274414062,0.0,4570.271484375,0.0,2941.21264648438,0.0,2680.05322265625,
27000,2020-11-03 16:15:00,1,0.0,1761.26354980469,0.0,4529.2431640625,0.0,2826.92358398438,0.0,2646.4794921875,
27001,2020-11-03 16:30:00,1,0.0,1764.51257324219,0.0,4554.72412109375,0.0,2862.97021484375,0.0,2658.677734375,
27002,2020-11-03 20:30:00,1,316.404327392578,0.0,812.604125976562,0.0,521.061096191406,0.0,511.812591552734,0.0,
27003,2020-11-03 20:45:00,1,1620.92529296875,0.0,4127.18701171875,0.0,2713.5361328125,0.0,2349.84008789062,0.0,
27201,2020-11-03 21:00:00,1,0.0,2305.09985351562,0.0,5906.99462890625,0.0,3825.62817382812,0.0,3229.62133789062,
27202,2020-11-03 21:15:00,1,0.0,2144.07934570312,0.0,5813.228515625,0.0,3689.75317382812,0.0,3182.03540039062,
27203,2020-11-03 21:30:00,1,0.0,2094.5341796875,0.0,5773.6103515625,0.0,3609.32739257812,0.0,3149.8369140625,
27204,2020-11-03 21:45:00,1,0.0,2107.78979492188,0.0,5811.6396484375,0.0,3660.49682617188,0.0,3179.58715820312,
27205,2020-11-03 22:00:00,1,0.0,2007.25744628906,0.0,5665.38623046875,0.0,3526.56201171875,0.0,3099.2685546875,
27206,2020-11-03 22:15:00,1,0.0,1985.14221191406,0.0,5569.45751953125,0.0,3484.015625,0.0,3048.00048828125,
27207,2020-11-03 22:30:00,1,0.0,1980.17980957031,0.0,5535.9111328125,0.0,3460.99926757812,0.0,2996.67260742188,
27208,2020-11-03 22:45:00,1,0.0,1973.60217285156,0.0,5481.98095703125,0.0,3438.26220703125,0.0,2972.18920898438,
27209,2020-11-03 23:00:00,1,0.0,1938.62414550781,0.0,5385.517578125,0.0,3363.0546875,0.0,2934.06665039062,
